0.9535,0,0,0,0,0
0.9582,0,0,0,0,0
0.9652,0,0,0,0,0
0.9662,0,0,0,0,0
0.9667,0,0,0,0,0
0.9652,0,0,0,0,0
0.9609,0,0,0,0,0
0.9594,0,0,0,0,0
0.9604,0,0,0,0,0
0.9565,0,0,0,0,0
0.9555,0,0,0,0,0
0.9543,0,0,0,0,0
0.9538,0,0,0,0,0
0.955,0,0,0,0,0
0.9606,0,0,0,0,0
0.9601,0,0,0,0,0
0.9628,0,0,0,0,0
0.9599,0,0,0,0,0
0.9543,0,0,0,0,0
0.9582,0,0,0,0,0
0.9604,0,0,0,0,0
0.9511,0,0,0,0,0
0.9518,0,0,0,0,0
0.9496,0,0,0,0,0
0.9494,0,0,0,0,0
0.9565,0,0,0,0,0
0.9643,0,0,0,0,0
0.9701,0,0,0,0,0
0.9635,0,0,0,0,0
0.9609,0,0,0,0,0
0.9609,0,0,0,0,0
0.9599,0,0,0,0,0
0.954,0,0,0,0,0
0.9523,0,0,0,0,0
0.9479,0,0,0,0,0
0.9494,0,0,0,0,0
0.9569,0,0,0,0,0
0.9572,0,0,0,0,0
0.9613,0,0,0,0,0
0.9616,0,0,0,0,0
0.9596,0,0,0,0,0
0.955,0,0,0,0,0
0.9613,0,0,0,0,0
0.9577,0,0,0,0,0
0.9533,0,0,0,0,0
0.9545,0,0,0,0,0
0.9479,0,0,0,0,0
0.9496,0,0,0,0,0
0.9528,0,0,0,0,0
0.9552,0,0,0,0,0
0.9567,0,0,0,0,0
0.9533,0,0,0,0,0
0.9543,0,0,0,0,0
0.9547,0,0,0,0,0
0.9565,0,0,0,0,0
0.9601,0,0,0,0,0
0.954,0,0,0,0,0
0.953,0,0,0,0,0
0.9518,0,0,0,0,0
0.955,0,0,0,0,0
0.9567,0,0,0,0,0
0.9599,0,0,0,0,0
0.9562,0,0,0,0,0
0.9508,0,0,0,0,0
0.9474,0,0,0,0,0
0.9467,0,0,0,0,0
0.9521,0,0,0,0,0
0.9521,0,0,0,0,0
0.9555,0,0,0,0,0
0.9525,0,0,0,0,0
0.9557,0,0,0,0,0
0.9596,0,0,0,0,0
0.955,0,0,0,0,0
0.9528,0,0,0,0,0
0.9543,0,0,0,0,0
0.9484,0,0,0,0,0
0.9462,0,0,0,0,0
0.9435,0,0,0,0,0
0.9528,0,0,0,0,0
0.956,0,0,0,0,0
0.9633,0,0,0,0,0
0.954,0,0,0,0,0
0.955,0,0,0,0,0
0.9501,0,0,0,0,0
0.9508,0,0,0,0,0
0.9518,0,0,0,0,0
0.9521,0,0,0,0,0
0.953,0,0,0,0,0
0.9516,0,0,0,0,0
0.9533,0,0,0,0,0
0.9504,0,0,0,0,0
0.9518,0,0,0,0,0
0.9543,0,0,0,0,0
0.9626,0,0,0,0,0
0.956,0,0,0,0,0
0.9557,0,0,0,0,0
0.9535,0,0,0,0,0
0.9579,0,0,0,0,0
0.9547,0,0,0,0,0
0.9591,0,0,0,0,0
0.9613,0,0,0,0,0
0.9555,0,0,0,0,0
0.9535,0,0,0,0,0
0.9489,0,0,0,0,0
0.9504,0,0,0,0,0
0.9504,0,0,0,0,0
0.9547,0,0,0,0,0
0.9599,0,0,0,0,0
0.953,0,0,0,0,0
0.9604,0,0,0,0,0
0.9579,0,0,0,0,0
0.955,0,0,0,0,0
0.9613,0,0,0,0,0
0.9596,0,0,0,0,0
0.9565,0,0,0,0,0
0.9577,0,0,0,0,0
0.9579,0,0,0,0,0
0.9628,0,0,0,0,0
0.963,0,0,0,0,0
0.965,0,0,0,0,0
0.963,0,0,0,0,0
0.963,0,0,0,0,0
0.9609,0,0,0,0,0
0.9499,0,0,0,0,0
0.9496,0,0,0,0,0
0.9482,0,0,0,0,0
0.9543,0,0,0,0,0
0.9525,0,0,0,0,0
0.9589,0,0,0,0,0
0.9547,0,0,0,0,0
0.9579,0,0,0,0,0
0.9579,0,0,0,0,0
0.955,0,0,0,0,0
0.9596,0,0,0,0,0
0.9721,0,0,0,0,0
0.9794,0,0,0,0,0
0.9779,0,0,0,0,0
0.9775,0,0,0,0,0
0.9787,0,0,0,0,0
0.9814,0,0,0,0,0
0.9867,0,0,0,0,0
0.9814,0,0,0,0,0
0.9772,0,0,0,0,0
0.9628,0,0,0,0,0
0.967,0,0,0,0,0
0.9535,0,0,0,0,0
0.9516,0,0,0,0,0
0.9403,0,0,0,0,0
0.9489,0,0,0,0,0
0.9445,0,0,0,0,0
0.9533,0,0,0,0,0
0.956,0,0,0,0,0
0.9516,0,0,0,0,0
0.9665,0,0,0,0,0
0.9887,0,0,0,0,0
0.9689,0,0,0,0,0
1.0046,0,0,0,0,0
0.9689,0,0,0,0,0
0.9611,0,0,0,0,0
0.9787,0,0,0,0,0
0.9731,0,0,0,0,0
0.9897,0,0,0,0,0
0.9762,0,0,0,0,0
0.9574,0,0,0,0,0
0.9464,0,0,0,0,0
0.9318,0,0,0,0,0
0.9289,0,0,0,0,0
0.9254,0,0,0,0,0
0.9218,0,0,0,0,0
0.935,0,0,0,0,0
0.9298,0,0,0,0,0
0.9333,0,0,0,0,0
0.9171,0,0,0,0,0
0.9128,0,0,0,0,0
0.8913,0,0,0,0,0
0.8771,0,0,0,0,0
0.8642,0,0,0,0,0
0.86,0,0,0,0,0
0.8576,0,0,0,0,0
0.872,0,0,0,0,0
0.8986,0,0,0,0,0
0.9316,0,0,0,0,0
0.9547,0,0,0,0,0
0.9916,0,0,0,0,0
1.0182,0,0,0,0,0
1.0797,0,0,0,0,0
1.1056,0,0,0,0,0
1.0768,0,0,0,0,0
1.0905,0,0,0,0,0
1.1444,0,0,0,0,0
1.1359,0,0,0,0,0
1.1105,0,0,0,0,0
1.0585,0,0,0,0,0
0.9633,0,0,0,0,0
0.8549,0,0,0,0,0
0.7936,0,0,0,0,0
0.7838,0,0,0,0,0
0.7685,0,0,0,0,0
0.7824,0,0,0,0,0
0.8285,0,0,0,0,0
0.8507,0,0,0,0,0
0.8644,0,0,0,0,0
0.8842,0,0,0,0,0
0.9064,0,0,0,0,0
0.9501,0,0,0,0,0
0.986,0,0,0,0,0
1.0014,0,0,0,0,0
1.0177,0,0,0,0,0
1.0197,0,0,0,0,0
1.0087,0,0,0,0,0
0.9897,0,0,0,0,0
0.9692,0,0,0,0,0
0.9425,0,0,0,0,0
0.9279,0,0,0,0,0
0.9306,0,0,0,0,0
0.9413,0,0,0,0,0
0.9447,0,0,0,0,0
0.9167,0,0,0,0,0
0.9919,0,0,0,0,0
1.0409,0,0,0,0,0
1.0536,0,0,0,0,0
1.0751,0,0,0,0,0
1.1127,0,0,0,0,0
1.1286,0,0,0,0,0
1.1918,0,0,0,0,0
1.2126,0,0,0,0,0
1.1991,0,0,0,0,0
1.1745,0,0,0,0,0
1.1454,0,0,0,0,0
1.1213,0,0,0,0,0
1.144,0,0,0,0,0
1.1938,0,0,0,0,0
1.1991,0,0,0,0,0
1.2106,0,0,0,0,0
1.193,0,0,0,0,0
1.1508,0,0,0,0,0
1.0695,0,0,0,0,0
0.9877,0,0,0,0,0
0.9338,0,0,0,0,0
0.829,0,0,0,0,0
0.6808,0,0,0,0,0
0.5629,0,0,0,0,0
0.5048,0,0,0,0,0
0.5566,0,0,0,0,0
0.6996,0,0,0,0,0
0.8427,0,0,0,0,0
0.977,0,0,0,0,0
0.9899,0,0,0,0,0
0.9728,0,0,0,0,0
0.9745,0,0,0,0,0
1.0058,0,0,0,0,0
1.0326,0,0,0,0,0
1.0448,0,0,0,0,0
1.0338,0,0,0,0,0
0.9818,0,0,0,0,0
0.9225,0,0,0,0,0
0.8647,0,0,0,0,0
0.7746,0,0,0,0,0
0.7375,0,0,0,0,0
0.737,0,0,0,0,0
0.7087,0,0,0,0,0
0.6879,0,0,0,0,0
0.7365,0,0,0,0,0
0.7624,0,0,0,0,0
0.7797,0,0,0,0,0
0.8134,0,0,0,0,0
0.8703,0,0,0,0,0
0.9335,0,0,0,0,0
0.9181,0,0,0,0,0
0.8678,0,0,0,0,0
0.8461,0,0,0,0,0
0.8197,0,0,0,0,0
0.8168,0,0,0,0,0
0.8239,0,0,0,0,0
0.8249,0,0,0,0,0
